"Preventable-injury-related deaths by month, leading cause, and year, United States, 1999-2021","","","","","","","","","","","","","","","","","","","","","","","","",""
"Year","Month","All causes","Poisoning","Motor vehicle","Falls","Choking (a)","Drowning (b)","Fire, flames, or smoke","Mechanical suffocation","Natural heat or cold","Struck by or against","All other causes","","","","","","","","","","","","",""
"2005","November","9,738","1,959","3,922","1,650","342","139","300","123","87","67","1,149","","","","","","","","","","","","",""
"2005","December","10,080","2,114","3,756","1,789","365","126","425","126","180","66","1,133","","","","","","","","","","","","",""
"2004","Total","112,012","20,950","44,933","18,807","4,470","3,308","3,229","1,421","902","833","13,159","","","","","","","","","","","","",""
"2004","January","9,540","1,861","3,410","1,695","427","137","486","132","216","63","1,113","","","","","","","","","","","","",""
"2004","February","8,466","1,720","3,128","1,523","394","124","351","89","130","52","955","","","","","","","","","","","","",""
"2004","March","8,981","1,758","3,422","1,595","424","205","335","132","56","67","987","","","","","","","","","","","","",""
"2004","April","8,769","1,688","3,567","1,476","354","243","260","118","31","74","958","","","","","","","","","","","","",""
"2004","May","9,555","1,788","3,952","1,512","349","407","204","126","31","64","1,122","","","","","","","","","","","","",""
"2004","June","9,546","1,728","3,960","1,498","327","482","187","119","46","64","1,135","","","","","","","","","","","","",""
"2004","July","10,105","1,799","4,132","1,494","369","597","188","137","83","70","1,236","","","","","","","","","","","","",""
"2004","August","9,900","1,735","4,212","1,553","356","394","183","106","53","70","1,238","","","","","","","","","","","","",""
"2004","September","9,215","1,644","3,733","1,553","366","292","176","115","33","95","1,208","","","","","","","","","","","","",""
"2004","October","9,582","1,765","3,991","1,660","372","179","220","119","35","77","1,164","","","","","","","","","","","","",""
"2004","November","8,687","1,627","3,640","1,517","345","115","248","107","41","68","979","","","","","","","","","","","","",""
"2004","December","9,666","1,837","3,786","1,731","387","133","391","121","147","69","1,064","","","","","","","","","","","","",""
"2003","Total","109,277","19,457","44,757","17,229","4,272","3,306","3,369","1,307","893","809","13,878","","","","","","","","","","","","",""
"2003","January","8,948","1,673","3,226","1,523","438","107","479","102","165","73","1,162","","","","","","","","","","","","",""
"2003","February","8,094","1,632","2,927","1,310","338","107","496","102","134","53","995","","","","","","","","","","","","",""
"2003","March","8,566","1,669","3,307","1,373","366","174","322","100","66","76","1,113","","","","","","","","","","","","",""
"2003","April","8,606","1,565","3,585","1,342","334","223","262","110","39","69","1,077","","","","","","","","","","","","",""
"2003","May","9,141","1,705","3,758","1,420","332","358","194","99","36","70","1,169","","","","","","","","","","","","",""
"2003","June","9,282","1,579","3,915","1,361","356","511","179","119","58","76","1,128","","","","","","","","","","","","",""
"2003","July","9,922","1,677","4,203","1,366","291","627","181","109","94","78","1,296","","","","","","","","","","","","",""
"2003","August","9,688","1,598","4,201","1,420","310","486","161","97","89","68","1,258","","","","","","","","","","","","",""
"2003","September","8,891","1,492","3,855","1,431","329","281","193","112","24","59","1,115","","","","","","","","","","","","",""
"2003","October","9,379","1,635","4,108","1,478","371","173","221","123","13","72","1,185","","","","","","","","","","","","",""
"2003","November","9,220","1,572","3,919","1,543","369","151","278","113","51","57","1,167","","","","","","","","","","","","",""
"2003","December","9,540","1,660","3,753","1,662","438","108","403","121","124","58","1,213","","","","","","","","","","","","",""
"2002","Total","106,742","17,550","45,380","16,257","4,128","3,447","3,159","1,389","996","864","13,572","","","","","","","","","","","","",""
